season,match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,3,4,JH Kallis,MK Pandey,Z Khan,0,0,0,0,0,0,1,0,1,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,3,5,MK Pandey,JH Kallis,Z Khan,0,0,0,0,0,0,2,0,2,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,3,6,MK Pandey,JH Kallis,Z Khan,0,0,0,0,0,0,1,0,1,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,4,1,MK Pandey,JH Kallis,CJ Anderson,0,0,0,0,0,0,0,0,0,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,4,2,MK Pandey,JH Kallis,CJ Anderson,0,0,0,0,0,0,0,0,0,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,4,3,MK Pandey,JH Kallis,CJ Anderson,0,0,0,0,0,0,0,0,0,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,4,4,MK Pandey,JH Kallis,CJ Anderson,0,0,0,0,0,0,4,0,4,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,4,5,MK Pandey,JH Kallis,CJ Anderson,0,0,0,0,0,0,6,0,6,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,4,6,MK Pandey,JH Kallis,CJ Anderson,0,0,0,0,0,0,0,0,0,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,5,1,JH Kallis,MK Pandey,Z Khan,0,0,0,0,0,0,1,0,1,,,
